streamName,Site,siteID,Season,minvisitTime,maxvisitTime,SalmonRun,RunID,Issues,RandNo
Feather River,Herringer Riffle,5000,2011-2012,11/29/2011,5/25/2012,Spring,1,,0.114546524
Feather River,Herringer Riffle,5000,2012-2013,11/26/2012,6/7/2013,Spring,1,,0.477001127
Feather River,Herringer Riffle,5000,2013-2014,12/19/2013,5/28/2014,Spring,1,,0.842854738
Feather River,Herringer Riffle,5000,2001-2002,1/9/2002,6/21/2002,Fall,3,,0.232446793
Feather River,Herringer Riffle,5000,2002-2003,11/26/2002,6/9/2003,Fall,3,,0.834475087
Feather River,Herringer Riffle,5000,2003-2004,12/3/2003,6/15/2004,Fall,3,,0.461583926
Feather River,Herringer Riffle,5000,2004-2005,11/2/2004,6/13/2005,Fall,3,,0.569940998
Feather River,Herringer Riffle,5000,2005-2006,11/10/2005,6/22/2006,Fall,3,,0.887399236
Feather River,Herringer Riffle,5000,2007-2008,1/1/2008,6/11/2008,Fall,3,,0.041916924
Feather River,Herringer Riffle,5000,2009-2010,11/23/2009,12/10/2009,Fall,3,No observed catches meet valid criteria.,0.144564103
Feather River,Herringer Riffle,5000,2011-2012,11/29/2011,5/25/2012,Fall,3,,0.044025244
Feather River,Herringer Riffle,5000,2012-2013,11/26/2012,6/7/2013,Fall,3,,0.741266036
Feather River,Herringer Riffle,5000,2013-2014,12/19/2013,5/28/2014,Fall,3,,0.29843913
Feather River,Live Oak,4000,1997-1998,12/15/1997,7/8/1998,Spring,1,Your criteria returned no releases.,0.729141856
Feather River,Live Oak,4000,1998-1999,12/9/1998,8/5/1999,Spring,1,,0.391431959
Feather River,Live Oak,4000,1999-2000,8/5/1999,8/4/2000,Spring,1,,0.449323565
Feather River,Live Oak,4000,2000-2001,7/25/2000,6/28/2001,Spring,1,"TotalSampleMinutes == 0 for trapVisitID == 1377.  This leads to an -Inf when taking the log for the offset in program catch_model, line 60.",0.883117302
Feather River,Live Oak,4000,2001-2002,11/19/2001,1/21/2002,Spring,1,Your criteria returned no releases.,0.43898308
Feather River,Live Oak,4000,1997-1998,12/15/1997,7/8/1998,Fall,3,Your criteria returned no releases.,0.969817349
Feather River,Live Oak,4000,1998-1999,12/9/1998,8/5/1999,Fall,3,,0.148038961
Feather River,Live Oak,4000,1999-2000,8/5/1999,8/4/2000,Fall,3,,0.756030876
Feather River,Live Oak,4000,2000-2001,7/25/2000,6/28/2001,Fall,3,"TotalSampleMinutes == 0 for trapVisitID == 1377.  This leads to an -Inf when taking the log for the offset in program catch_model, line 60.",0.402900452
Feather River,Live Oak,4000,2001-2002,11/19/2001,1/21/2002,Fall,3,Your criteria returned no releases.,0.968453724
Feather River,Shawn's Beach,7000,2008-2009,11/19/2008,1/13/2009,Spring,1,Your criteria returned no releases.,0.602049714
Feather River,Shawn's Beach,7000,2008-2009,11/19/2008,1/13/2009,Fall,3,Your criteria returned no releases.,0.487472625
Feather River,Steep Riffle,2000,2005-2006,5/1/2006,6/3/2006,Spring,1,Your criteria returned no releases.,0.928021033
Feather River,Steep Riffle,2000,2006-2007,12/12/2006,5/27/2007,Spring,1,,0.211955568
Feather River,Steep Riffle,2000,2007-2008,10/29/2007,7/17/2008,Spring,1,,0.252659827
Feather River,Steep Riffle,2000,2008-2009,10/29/2008,8/6/2009,Spring,1,,0.536941173
Feather River,Steep Riffle,2000,2009-2010,7/27/2009,6/8/2010,Spring,1,,0.181520146
Feather River,Steep Riffle,2000,2010-2011,11/8/2010,6/2/2011,Spring,1,,0.644911177
Feather River,Steep Riffle,2000,2011-2012,11/27/2011,6/20/2012,Spring,1,,0.972361749
Feather River,Steep Riffle,2000,2012-2013,11/27/2012,12/18/2012,Spring,1,Your criteria returned no releases.,0.198254043
Feather River,Steep Riffle,2000,2005-2006,5/1/2006,6/3/2006,Fall,3,Your criteria returned no releases.,0.646287772
Feather River,Steep Riffle,2000,2006-2007,12/12/2006,5/27/2007,Fall,3,,0.220759864
Feather River,Steep Riffle,2000,2007-2008,10/29/2007,7/17/2008,Fall,3,,0.231277345
Feather River,Steep Riffle,2000,2008-2009,10/29/2008,8/6/2009,Fall,3,,0.804343555
Feather River,Steep Riffle,2000,2009-2010,7/27/2009,6/8/2010,Fall,3,,0.663925525
Feather River,Steep Riffle,2000,2010-2011,11/8/2010,6/2/2011,Fall,3,,0.564514533
Feather River,Steep Riffle,2000,2011-2012,11/27/2011,6/20/2012,Fall,3,,0.670479006
Feather River,Steep Riffle,2000,2012-2013,11/27/2012,12/18/2012,Fall,3,Your criteria returned no releases.,0.515049012
Feather River,Sunset Pumps,6000,2006-2007,12/29/2006,8/7/2007,Spring,1,,0.099775909
Feather River,Sunset Pumps,6000,2007-2008,7/25/2007,1/20/2008,Spring,1,Your criteria returned no releases.,0.049351413
Feather River,Sunset Pumps,6000,2008-2009,12/24/2008,8/6/2009,Spring,1,,0.053011745
Feather River,Sunset Pumps,6000,2009-2010,7/27/2009,6/3/2010,Spring,1,,0.400538553
Feather River,Sunset Pumps,6000,2010-2011,12/7/2010,6/2/2011,Spring,1,,0.719572985
Feather River,Sunset Pumps,6000,2006-2007,12/29/2006,8/7/2007,Fall,3,,0.657085307
Feather River,Sunset Pumps,6000,2007-2008,7/25/2007,1/20/2008,Fall,3,Your criteria returned no releases.,0.155272586
Feather River,Sunset Pumps,6000,2008-2009,12/24/2008,8/6/2009,Fall,3,,0.880912887
Feather River,Sunset Pumps,6000,2009-2010,7/27/2009,6/3/2010,Fall,3,,0.493201416
Feather River,Sunset Pumps,6000,2010-2011,12/7/2010,6/2/2011,Fall,3,,0.472283028
Sacramento River,RBDD RST,42000,1993-1994,10/1/1993,9/30/1994,Spring,1,Your criteria returned no releases.,0.543973297
Sacramento River,RBDD RST,42000,1994-1995,10/1/1994,9/30/1995,Spring,1,Your criteria returned no releases.,0.118328088
Sacramento River,RBDD RST,42000,1995-1996,10/1/1995,9/30/1996,Spring,1,Your criteria returned no releases.,0.162706961
Sacramento River,RBDD RST,42000,1996-1997,10/1/1996,9/30/1997,Spring,1,Your criteria returned no releases.,0.818921686
Sacramento River,RBDD RST,42000,1997-1998,10/1/1997,9/30/1998,Spring,1,,0.648707174
Sacramento River,RBDD RST,42000,1998-1999,10/1/1998,9/30/1999,Spring,1,,0.291262209
Sacramento River,RBDD RST,42000,1999-2000,10/1/1999,9/30/2000,Spring,1,,0.840947136
Sacramento River,RBDD RST,42000,2001-2002,10/1/2001,9/30/2002,Spring,1,,0.815016399
Sacramento River,RBDD RST,42000,2002-2003,10/1/2002,9/30/2003,Spring,1,,0.4488529
Sacramento River,RBDD RST,42000,2003-2004,10/1/2003,9/30/2004,Spring,1,,0.721974185
Sacramento River,RBDD RST,42000,2004-2005,10/1/2004,9/30/2005,Spring,1,,0.659621952
Sacramento River,RBDD RST,42000,2005-2006,10/1/2005,9/30/2006,Spring,1,,0.961069521
Sacramento River,RBDD RST,42000,2006-2007,10/1/2006,9/30/2007,Spring,1,,0.205488697
Sacramento River,RBDD RST,42000,2007-2008,10/1/2007,9/30/2008,Spring,1,,0.275496981
Sacramento River,RBDD RST,42000,2008-2009,10/1/2008,9/30/2009,Spring,1,,0.588595987
Sacramento River,RBDD RST,42000,2009-2010,10/1/2009,9/30/2010,Spring,1,Your criteria returned no releases.,0.811195718
Sacramento River,RBDD RST,42000,2010-2011,10/1/2010,9/30/2011,Spring,1,,0.154336209
Sacramento River,RBDD RST,42000,2011-2012,10/1/2011,9/30/2012,Spring,1,,0.746232031
Sacramento River,RBDD RST,42000,2012-2013,10/1/2012,9/30/2013,Spring,1,,0.222922961
Sacramento River,RBDD RST,42000,2013-2014,10/1/2013,9/30/2014,Spring,1,Your criteria returned no releases.,0.503286331
Sacramento River,RBDD RST,42000,1993-1994,12/1/1993,11/30/1994,Fall,3,Your criteria returned no releases.,0.062787697
Sacramento River,RBDD RST,42000,1994-1995,12/1/1994,11/30/1995,Fall,3,Your criteria returned no releases.,0.627154507
Sacramento River,RBDD RST,42000,1995-1996,12/1/1995,11/30/1996,Fall,3,Your criteria returned no releases.,0.789798085
Sacramento River,RBDD RST,42000,1996-1997,12/1/1996,11/30/1997,Fall,3,Your criteria returned no releases.,0.298426777
Sacramento River,RBDD RST,42000,1997-1998,12/1/1997,11/30/1998,Fall,3,,0.280529264
Sacramento River,RBDD RST,42000,1998-1999,12/1/1998,11/30/1999,Fall,3,,0.629670089
Sacramento River,RBDD RST,42000,1999-2000,12/1/1999,11/30/2000,Fall,3,,0.001492047
Sacramento River,RBDD RST,42000,2001-2002,12/1/2001,11/30/2002,Fall,3,,0.546189534
Sacramento River,RBDD RST,42000,2002-2003,12/1/2002,11/30/2003,Fall,3,,0.060959149
Sacramento River,RBDD RST,42000,2003-2004,12/1/2003,11/30/2004,Fall,3,,0.788801837
Sacramento River,RBDD RST,42000,2004-2005,12/1/2004,11/30/2005,Fall,3,,0.445896055
Sacramento River,RBDD RST,42000,2005-2006,12/1/2005,11/30/2006,Fall,3,,0.588996825
Sacramento River,RBDD RST,42000,2006-2007,12/1/2006,11/30/2007,Fall,3,,0.075415624
Sacramento River,RBDD RST,42000,2007-2008,12/1/2007,11/30/2008,Fall,3,,0.861678436
Sacramento River,RBDD RST,42000,2008-2009,12/1/2008,11/30/2009,Fall,3,,0.075644012
Sacramento River,RBDD RST,42000,2009-2010,12/1/2009,11/30/2010,Fall,3,Your criteria returned no releases.,0.106126169
Sacramento River,RBDD RST,42000,2010-2011,12/1/2010,11/30/2011,Fall,3,,0.391512765
Sacramento River,RBDD RST,42000,2011-2012,12/1/2011,11/30/2012,Fall,3,,0.515419397
Sacramento River,RBDD RST,42000,2012-2013,12/1/2012,11/30/2013,Fall,3,,0.515302266
Sacramento River,RBDD RST,42000,2013-2014,12/1/2013,11/30/2014,Fall,3,Your criteria returned no releases.,0.13160872
Sacramento River,RBDD RST,42000,1993-1994,7/1/1993,6/30/1994,Winter,4,Your criteria returned no releases.,0.867136314
Sacramento River,RBDD RST,42000,1994-1995,7/1/1994,6/30/1995,Winter,4,Your criteria returned no releases.,0.104004329
Sacramento River,RBDD RST,42000,1995-1996,7/1/1995,6/30/1996,Winter,4,Your criteria returned no releases.,0.519321291
Sacramento River,RBDD RST,42000,1996-1997,7/1/1996,6/30/1997,Winter,4,Your criteria returned no releases.,0.811823366
Sacramento River,RBDD RST,42000,1997-1998,7/1/1997,6/30/1998,Winter,4,,0.080705217
Sacramento River,RBDD RST,42000,1998-1999,7/1/1998,6/30/1999,Winter,4,,0.901545441
Sacramento River,RBDD RST,42000,1999-2000,7/1/1999,6/30/2000,Winter,4,,0.404264159
Sacramento River,RBDD RST,42000,2001-2002,7/1/2001,6/30/2002,Winter,4,,0.082587751
Sacramento River,RBDD RST,42000,2002-2003,7/1/2002,6/30/2003,Winter,4,,0.563458903
Sacramento River,RBDD RST,42000,2003-2004,7/1/2003,6/30/2004,Winter,4,,0.134918617
Sacramento River,RBDD RST,42000,2004-2005,7/1/2004,6/30/2005,Winter,4,,0.63235896
Sacramento River,RBDD RST,42000,2005-2006,7/1/2005,6/30/2006,Winter,4,,0.235709961
Sacramento River,RBDD RST,42000,2006-2007,7/1/2006,6/30/2007,Winter,4,,0.651845485
Sacramento River,RBDD RST,42000,2007-2008,7/1/2007,6/30/2008,Winter,4,,0.447142083
Sacramento River,RBDD RST,42000,2008-2009,7/1/2008,6/30/2009,Winter,4,,0.494080711
Sacramento River,RBDD RST,42000,2009-2010,7/1/2009,6/30/2010,Winter,4,Your criteria returned no releases.,0.229346856
Sacramento River,RBDD RST,42000,2010-2011,7/1/2010,6/30/2011,Winter,4,,0.271110968
Sacramento River,RBDD RST,42000,2011-2012,7/1/2011,6/30/2012,Winter,4,,0.179427978
Sacramento River,RBDD RST,42000,2012-2013,7/1/2012,6/30/2013,Winter,4,,0.490448299
Sacramento River,RBDD RST,42000,2013-2014,7/1/2013,6/30/2014,Winter,4,Your criteria returned no releases.,0.590806212
Sacramento River,RBDD RST,42000,1993-1994,4/1/1993,3/30/1994,Late fall,5,Your criteria returned no releases.,0.078322004
Sacramento River,RBDD RST,42000,1994-1995,4/1/1994,3/30/1995,Late fall,5,Your criteria returned no releases.,0.464158778
Sacramento River,RBDD RST,42000,1995-1996,4/1/1995,3/30/1996,Late fall,5,Your criteria returned no releases.,0.92827055
Sacramento River,RBDD RST,42000,1996-1997,4/1/1996,3/30/1997,Late fall,5,Your criteria returned no releases.,0.366532643
Sacramento River,RBDD RST,42000,1997-1998,4/1/1997,3/30/1998,Late fall,5,,0.696686706
Sacramento River,RBDD RST,42000,1998-1999,4/1/1998,3/30/1999,Late fall,5,,0.306541195
Sacramento River,RBDD RST,42000,1999-2000,4/1/1999,3/30/2000,Late fall,5,,0.323700527
Sacramento River,RBDD RST,42000,2001-2002,4/1/2001,3/30/2002,Late fall,5,No observed catches meet valid criteria.,0.903116697
Sacramento River,RBDD RST,42000,2002-2003,4/1/2002,3/30/2003,Late fall,5,,0.996464152
Sacramento River,RBDD RST,42000,2003-2004,4/1/2003,3/30/2004,Late fall,5,,0.531415918
Sacramento River,RBDD RST,42000,2004-2005,4/1/2004,3/30/2005,Late fall,5,,0.629543725
Sacramento River,RBDD RST,42000,2005-2006,4/1/2005,3/30/2006,Late fall,5,,0.45207176
Sacramento River,RBDD RST,42000,2006-2007,4/1/2006,3/30/2007,Late fall,5,,0.334866612
Sacramento River,RBDD RST,42000,2007-2008,4/1/2007,3/30/2008,Late fall,5,,0.863017122
Sacramento River,RBDD RST,42000,2008-2009,4/1/2008,3/30/2009,Late fall,5,,0.965819827
Sacramento River,RBDD RST,42000,2009-2010,4/1/2009,3/30/2010,Late fall,5,Your criteria returned no releases.,0.71722481
Sacramento River,RBDD RST,42000,2010-2011,4/1/2010,3/30/2011,Late fall,5,,0.228193825
Sacramento River,RBDD RST,42000,2011-2012,4/1/2011,3/30/2012,Late fall,5,,0.222164988
Sacramento River,RBDD RST,42000,2012-2013,4/1/2012,3/30/2013,Late fall,5,,0.705902656
Sacramento River,RBDD RST,42000,2013-2014,4/1/2013,3/30/2014,Late fall,5,Your criteria returned no releases.,0.66423247
Stanislaus River,Caswell State Park,1000,1995-1996,1/29/1996,7/8/1996,Fall,3,,0.646238104
Stanislaus River,Caswell State Park,1000,1996-1997,3/11/1997,7/5/1997,Fall,3,,0.863994879
Stanislaus River,Caswell State Park,1000,1997-1998,12/31/1997,7/23/1998,Fall,3,,0.890639885
Stanislaus River,Caswell State Park,1000,1998-1999,1/10/1999,7/7/1999,Fall,3,,0.277510344
Stanislaus River,Caswell State Park,1000,1999-2000,12/7/1999,7/7/2000,Fall,3,,0.305308576
Stanislaus River,Caswell State Park,1000,2000-2001,12/14/2000,7/5/2001,Fall,3,,0.015784726
Stanislaus River,Caswell State Park,1000,2001-2002,1/8/2002,6/14/2002,Fall,3,,0.126417334
Stanislaus River,Caswell State Park,1000,2002-2003,1/10/2003,6/12/2003,Fall,3,,0.314122708
Stanislaus River,Caswell State Park,1000,2003-2004,1/2/2004,6/11/2004,Fall,3,,0.252993634
Stanislaus River,Caswell State Park,1000,2004-2005,12/28/2004,6/24/2005,Fall,3,,0.732856172
Stanislaus River,Caswell State Park,1000,2005-2006,2/28/2006,7/21/2006,Fall,3,,0.735533623
Stanislaus River,Caswell State Park,1000,2006-2007,1/3/2007,6/29/2007,Fall,3,,0.396060387
Stanislaus River,Caswell State Park,1000,2007-2008,1/15/2008,7/3/2008,Fall,3,,0.351570238
Stanislaus River,Caswell State Park,1000,2008-2009,1/6/2009,7/2/2009,Fall,3,,0.495316365
Stanislaus River,Caswell State Park,1000,2009-2010,1/4/2010,6/24/2010,Fall,3,,0.242530398
Stanislaus River,Caswell State Park,1000,2010-2011,12/6/2010,7/15/2011,Fall,3,,0.955707832
Stanislaus River,Caswell State Park,1000,2011-2012,12/19/2011,7/10/2012,Fall,3,,0.30854851
Stanislaus River,Caswell State Park,1000,2012-2013,12/10/2012,6/27/2013,Fall,3,,0.198060489
Stanislaus River,Caswell State Park,1000,2013-2014,12/14/2013,7/4/2014,Fall,3,,0.835912371
Mokelumne River,Gold RST Main Site,34000,2005-2006,12/1/2005,7/30/2006,Fall,3,,0.989359291
Mokelumne River,Gold RST Main Site,34000,2006-2007,12/1/2006,7/30/2007,Fall,3,,0.8871388
Mokelumne River,Gold RST Main Site,34000,2007-2008,12/1/2007,7/30/2008,Fall,3,,0.54261558
Mokelumne River,Gold RST Main Site,34000,2008-2009,12/1/2008,7/30/2009,Fall,3,,0.817371772
Mokelumne River,Gold RST Main Site,34000,2009-2010,12/1/2009,7/30/2010,Fall,3,,0.076993911
Mokelumne River,Gold RST Main Site,34000,2010-2011,12/1/2010,7/30/2011,Fall,3,,0.668354147
Mokelumne River,Gold RST Main Site,34000,2011-2012,12/1/2011,7/30/2012,Fall,3,,0.594084679
Mokelumne River,Gold RST Main Site,34000,2012-2013,12/1/2012,7/30/2013,Fall,3,,0.120238001
Mokelumne River,Gold RST Main Site,34000,2013-2014,12/1/2013,7/30/2014,Fall,3,,0.490565305
